video_id,board,rank,file,label,filepath,split
-ZVbDR3sRRo,0,0,0,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-0_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,1,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-1_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,2,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-2_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,3,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-3_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,4,BlackRook,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-4_PieceBlackRook.png,train
-ZVbDR3sRRo,0,0,5,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-5_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,6,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-6_PieceEmpty.png,train
-ZVbDR3sRRo,0,0,7,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos0-7_PieceEmpty.png,train
-ZVbDR3sRRo,0,1,0,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-0_PieceEmpty.png,train
-ZVbDR3sRRo,0,1,1,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-1_PieceEmpty.png,train
-ZVbDR3sRRo,0,1,2,WhiteRook,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-2_PieceWhiteRook.png,train
-ZVbDR3sRRo,0,1,3,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-3_PieceEmpty.png,train
-ZVbDR3sRRo,0,1,4,BlackBishop,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-4_PieceBlackBishop.png,train
-ZVbDR3sRRo,0,1,5,BlackKing,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-5_PieceBlackKing.png,train
-ZVbDR3sRRo,0,1,6,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-6_PieceEmpty.png,train
-ZVbDR3sRRo,0,1,7,BlackPawn,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos1-7_PieceBlackPawn.png,train
-ZVbDR3sRRo,0,2,0,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-0_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,1,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-1_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,2,BlackPawn,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-2_PieceBlackPawn.png,train
-ZVbDR3sRRo,0,2,3,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-3_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,4,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-4_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,5,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-5_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,6,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-6_PieceEmpty.png,train
-ZVbDR3sRRo,0,2,7,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos2-7_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,0,BlackPawn,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-0_PieceBlackPawn.png,train
-ZVbDR3sRRo,0,3,1,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-1_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,2,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-2_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,3,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-3_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,4,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-4_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,5,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-5_PieceEmpty.png,train
-ZVbDR3sRRo,0,3,6,WhiteQueen,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-6_PieceWhiteQueen.png,train
-ZVbDR3sRRo,0,3,7,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos3-7_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,0,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-0_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,1,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-1_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,2,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-2_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,3,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-3_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,4,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-4_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,5,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-5_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,6,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-6_PieceEmpty.png,train
-ZVbDR3sRRo,0,4,7,Empty,-ZVbDR3sRRo/-ZVbDR3sRRo_Board0_Pos4-7_PieceEmpty.png,train
